sku,name,category,brand,price,price_usd,socket,tdp,score,vram,length_mm,height_mm,watt,memory_type,form_factor,capacity_gb,efficiency,source_site,source_url,item_sku,cpu_socket,mb_socket,mb_form_factor,gpu_length_mm,case_max_gpu_length_mm,case_max_cpu_cooler_height_mm,monitor_resolution,monitor_refresh_hz,storage_interface,storage_form_factor,pcie_version,specs_json
newegg-Case-221988338447,"JONSBO D400 BLACK ATX PC Case, Supports ATX / M-ATX / ITX MB, Golden-Ratio 3D Shape Design, Integrated Cured Tempered Glass, Desktop Case,SP Back-connect MB/Vertical GPU/AIO360,Multi Fan Bays, Black",case,JONSBO,1009,140.14,,0,0,0,0,0,0,,,0,,newegg,https://www.newegg.com/jonsbo-atx-cases-spcc-sgcc-steel-abs-plastic-tempered-glass-cases-computer-cases-atx-form-d400-black/p/2AM-006A-000H8?Item=9SIAY3SKM96094&cm_sp=SP-_-3021540-_-0-_-3-_-9SIAY3SKM96094-_-mid tower case-_-case|mid|tower-_-18,,,,,0,0,0,,,,,,"{""source"": ""newegg_search"", ""query_keyword"": ""mid tower case"", ""query_page"": 1, ""feature_map"": {""Model #"": ""D400 BLACK""}, ""feature_lines_raw"": [""Model #: D400 BLACK""], ""compatibility_params"": {""supported_mb_form_factor"": ""ATX, Micro ATX""}}"
newegg-Case-223339771133,LIAN LI O11 vision compact white color Aluminum / Steel / Tempered Glass ATX Mid Tower computer Case ----O11VPW,case,LIAN,857,119.03,,0,0,0,0,0,0,,,0,,newegg,https://www.newegg.com/lian-li-e-atx-mid-tower-chassis-steel-4-0mm-tempered-glass-3-0mm-tempered-glass-aluminum-cases-white-o11vpw/p/2AM-000Z-000D9,,,,,0,0,0,,,,,,"{""source"": ""newegg_search"", ""query_keyword"": ""mid tower case"", ""query_page"": 1, ""feature_map"": {""Model #"": ""O11VPW""}, ""feature_lines_raw"": [""Model #: O11VPW""], ""compatibility_params"": {""supported_mb_form_factor"": ""ATX""}}"
newegg-Case-239545462896,"Antec NX200M Micro-ATX Tower, Mini-Tower Computer Case with 120mm Rear Fan Pre-Installed, Mesh Design in Front Panel Ventilated Airflow, NX Series, Black",case,Antec,269,37.36,,0,0,0,0,0,0,,,0,,newegg,https://www.newegg.com/antec-micro-atx-tower-steel-plastic-tempered-glass-cases-black-nx200m/p/2AM-000V-001D4,,,,,0,0,0,,,,,,"{""source"": ""newegg_search"", ""query_keyword"": ""computer case atx"", ""query_page"": 1, ""feature_map"": {""Model #"": ""NX200M""}, ""feature_lines_raw"": [""Model #: NX200M""], ""compatibility_params"": {}}"
newegg-Case-259357882982,"PCCOOLER CPS C3 T700 PC Case, Dual-Chamber Mid-Tower ATX Case, High-Airflow Computer Case, BTF Motherboard Supports, Sturdy Tempered Glass Front & Side Panels, Black (Fans Not Included)",case,PCCOOLER,504,70.00,,0,0,0,0,0,0,,,0,,newegg,https://www.newegg.com/pccooler-atx-mid-tower-spcc-tempered-glass-cases-computer-cases-atx-form-white-c3-t700-argb-wh/p/2AM-05KE-00014?Item=9SIAHCTKJM3451&cm_sp=SP-_-2942299-_-0-_-2-_-9SIAHCTKJM3451-_-pc case-_-case|pc-_-15,,,,,0,0,0,,,,,,"{""source"": ""newegg_search"", ""query_keyword"": ""pc case"", ""query_page"": 1, ""feature_map"": {""Model #"": ""C3-T700BKD001-GL""}, ""feature_lines_raw"": [""Model #: C3-T700BKD001-GL""], ""compatibility_params"": {""supported_mb_form_factor"": ""ATX""}}"
newegg-Case-261149783441,"Lian Li LANCOOL 217 Genuine Walnut Wood Computer Case,  Mid-Tower ATX PC Case with 5 Pre-Installed PWM Fans 2x170mm, 2x120mm & 1x140mm, Flexible PSU & Cable Installation - Black (LAN217X)",case,Lian,822,114.17,,0,0,0,0,0,0,,,0,,newegg,https://www.newegg.com/lian-li-atx-mid-tower-steel-case-fans-black/p/1YF-005G-000M9,,,,,0,0,0,,,,,,"{""source"": ""newegg_search"", ""query_keyword"": ""computer case atx"", ""query_page"": 1, ""feature_map"": {""Model #"": ""LAN217X""}, ""feature_lines_raw"": [""Model #: LAN217X""], ""compatibility_params"": {}}"
newegg-Case-276256958263,"JONSBO D400 BLACK ATX PC Case, Supports ATX / M-ATX / ITX MB, Golden-Ratio 3D Shape Design, Integrated Cured Tempered Glass, Desktop Case,SP Back-connect MB/Vertical GPU/AIO360,Multi Fan Bays, Black",case,JONSBO,1009,140.14,,0,0,0,0,0,0,,,0,,newegg,https://www.newegg.com/jonsbo-atx-cases-spcc-sgcc-steel-abs-plastic-tempered-glass-cases-computer-cases-atx-form-d400-black/p/2AM-006A-000H8?Item=9SIAY3SKM96094&cm_sp=SP-_-3021540-_-0-_-2-_-9SIAY3SKM96094-_-computer case atx-_-atx|case-_-5,,,,,0,0,0,,,,,,"{""source"": ""newegg_search"", ""query_keyword"": ""computer case atx"", ""query_page"": 1, ""feature_map"": {""Model #"": ""D400 BLACK""}, ""feature_lines_raw"": [""Model #: D400 BLACK""], ""compatibility_params"": {}}"
newegg-Case-285844657764,Fractal Design Pop Silent Black ATX Sound Damped Solid Panel Mid Tower Computer Case,case,Fractal,580,80.56,,0,0,0,0,0,0,,,0,,newegg,https://www.newegg.com/fractal-design-atx-mid-tower-pop-steel-computer-case-black-fd-c-pos1a-01/p/N82E16811352176,,,,,0,0,0,,,,,,"{""source"": ""newegg_search"", ""query_keyword"": ""atx chassis"", ""query_page"": 1, ""feature_map"": {""Model #"": ""FD-C-POS1A-01""}, ""feature_lines_raw"": [""Model #: FD-C-POS1A-01""], ""compatibility_params"": {""supported_mb_form_factor"": ""ATX""}}"
newegg-Case-297207847506,XPG STARKER AIR Mid-Tower ATX PC Case with Front Mesh Panel and ARGB Light Effect White (STARKERAIR-WHCWW),case,XPG,269,37.36,,0,0,0,0,0,0,,,0,,newegg,https://www.newegg.com/xpg-atx-mid-tower-starker-air-spcc-tempered-glass-cases-white-starkerairc4vawg-wh-c-tw/p/2AM-00DT-00058,,,,,0,0,0,,,,,,"{""source"": ""newegg_search"", ""query_keyword"": ""pc case"", ""query_page"": 1, ""feature_map"": {""Model #"": ""STARKERAIRC4VAWG WH C TW""}, ""feature_lines_raw"": [""Model #: STARKERAIRC4VAWG WH C TW""], ""compatibility_params"": {""supported_mb_form_factor"": ""ATX""}}"
newegg-Case-304821137449,"SAMA SV02 Dual USB3.0 and Type C Tempered Glass ATX Mid Tower Gaming PC Computer Case, 3 Addressable RGB Fans Pre-Installed, Support BTF Back Plug Motherboard",case,SAMA,407,56.53,,0,0,0,0,0,0,,,0,,newegg,https://www.newegg.com/sama-atx-mid-tower-sv-series-steel-tempered-glass-cases-sv02-white/p/2AM-009W-00066,,,,,0,0,0,,,,,,"{""source"": ""newegg_search"", ""query_keyword"": ""mid tower case"", ""query_page"": 1, ""feature_map"": {""Model #"": ""SV02 WH""}, ""feature_lines_raw"": [""Model #: SV02 WH""], ""compatibility_params"": {""supported_mb_form_factor"": ""ATX""}}"
newegg-Case-353869014250,COUGAR MX220 RGB Mid-Tower ATX PC Case  Optimized AIrflow  4X 120mm ARGB  Fans Pre-Installed & 360mm Radiator Support  Max. GPU Length 340mm  PWM Fan Hun Included  USB Type-C Port (White),case,COUGAR,477,66.25,,0,0,0,0,0,0,,,0,,newegg,https://www.newegg.com/p/2AM-0023-000T7?Item=9SIB5SCKHT9367&cm_sp=SP-_-1632131-_-0-_-2-_-9SIB5SCKHT9367-_-computer case atx-_-atx|case-_-17,,,,,0,0,0,,,,,,"{""source"": ""newegg_search"", ""query_keyword"": ""computer case atx"", ""query_page"": 1, ""feature_map"": {""Model #"": ""MX220 RGB White""}, ""feature_lines_raw"": [""Model #: MX220 RGB White""], ""compatibility_params"": {}}"
